,name,forks,stars,created_at,open_issues
101,selling-partner-api-docs,833,1404,2020-07-28 00:27:54,211
102,selling-partner-api-models,648,399,2020-07-28 00:31:42,90
103,seqzero,1,6,2022-09-29 20:48:11,0
104,service-model-swift-code-generate,15,16,2019-02-19 02:41:18,3
105,sketch-constructor,48,525,2019-01-08 18:08:52,28
106,smoke-aws,19,106,2018-11-01 22:10:09,5
107,smoke-aws-credentials,11,16,2018-11-16 00:07:50,2
108,smoke-aws-generate,10,18,2019-02-15 00:40:50,4
109,smoke-aws-support,1,4,2022-09-23 23:02:32,1
110,smoke-dynamodb,14,35,2018-11-16 19:31:34,7
111,smoke-framework,42,1386,2018-10-02 17:58:20,8
112,smoke-framework-application-generate,9,21,2019-02-15 00:44:19,1
113,smoke-framework-examples,9,18,2019-02-19 02:36:59,1
114,smoke-http,14,65,2018-11-01 22:12:56,2
115,sparse-vqvae,10,20,2020-11-17 10:26:05,0
116,ss-aga-kgc,8,23,2022-05-13 16:35:55,6
117,sto-transformer,1,8,2022-10-27 09:12:27,0
118,style-dictionary,468,3134,2016-11-29 20:53:51,180
119,supply-chain-simulation-environment,16,35,2021-06-22 17:18:09,1
120,tiny-attribution-generator,14,19,2018-08-06 15:07:34,1
121,trans-encoder,14,111,2021-11-24 11:44:32,1
122,workspace-resolver,4,5,2020-06-13 06:48:39,0
123,xfer,60,249,2018-06-29 18:37:36,6
124,zeek-plugin-bacnet,11,24,2019-10-04 17:54:21,20
125,zeek-plugin-enip,14,38,2019-10-04 17:56:40,1
126,zeek-plugin-profinet,15,22,2019-10-04 17:59:03,4
127,zeek-plugin-s7comm,12,32,2019-10-04 18:00:25,2
128,zeek-plugin-tds,8,20,2019-10-04 18:01:45,2
129,zero-shot-rlhr,13,42,2021-04-26 04:49:11,1
